LipidClass,Lipid_Name,EmpiricalFormula,mz,mz_13C,ratio_12Cto13C
AsFA,AsFA264,AsO3C10H21,265.07848886,266.08193557542535,8.645532683856331
AsFA,AsFA278,AsO3C11H23,279.09413893,280.0975842850666,7.868497663796621
AsFA,AsFA292,AsO3C12H25,293.109789,294.11323321907264,7.219619520157812
AsFA,AsFA306,AsO3C13H27,307.12543907,308.1288823261653,6.669608176531421
AsFA,AsFA320,AsO3C14H29,321.14108914,322.14453156958615,6.197467322101054
AsFA,AsFA334,AsO3C15H31,335.15673921,336.16018092229723,5.787752908436336
AsFA,AsFA348,AsO3C16H33,349.17238928,350.1758303639672,5.42885165762317
AsFA,AsFA362,AsO3C17H35,363.18803935,364.1914798790131,5.111862674687127
AsFA,AsFA376,AsO3C18H37,377.20368942,378.20712945529095,4.829849258108958
AsFA,AsFA390,AsO3C19H39,391.21933949,392.2227790831963,4.577325420373318
AsFA,AsFA404,AsO3C20H41,405.23498956,406.2384287550337,4.349895485592921
AsFA,AsFA418,AsO3C21H43,419.25063963,420.2540784645646,4.143996043589325
AsFA,AsFA432,AsO3C22H45,433.2662897,434.26972820667834,3.9567078783842473
AsFA,AsFA446,AsO3C23H47,447.28193977,448.2853779771482,3.785616690858291
AsFA,AsFA460,AsO3C24H49,461.29758984,462.30102777244826,3.628708458452794
AsFA,AsFA262,AsO3C10H19,263.06283879,264.0662781450711,8.668017946383625
AsFA,AsFA276,AsO3C11H21,277.07848886,278.0819275145856,7.887118388690002
AsFA,AsFA290,AsO3C12H23,291.09413893,292.09757699988234,7.235292689233147
AsFA,AsFA304,AsO3C13H25,305.109789,306.11322657444646,6.682982044117075
AsFA,AsFA318,AsO3C14H27,319.12543907,320.128876219285,6.2090131007060805
AsFA,AsFA332,AsO3C15H29,333.14108914,334.14452592043614,5.797821325871375
AsFA,AsFA346,AsO3C16H31,347.15673921,348.1601756674069,5.437709141131045
AsFA,AsFA360,AsO3C17H33,361.17238928,362.17582545215873,5.119715236938886
AsFA,AsFA374,AsO3C18H35,375.18803935,376.19147526842966,4.836858699044848
AsFA,AsFA388,AsO3C19H37,389.20368942,390.207125111269,4.583620581549075
AsFA,AsFA402,AsO3C20H39,403.21933949,404.2227749767114,4.355580233944206
AsFA,AsFA416,AsO3C21H41,417.23498956,418.2384248615431,4.14915504206266
AsFA,AsFA430,AsO3C22H43,431.25063963,432.254074763132,3.9614108274557616
AsFA,AsFA444,AsO3C23H45,445.2662897,446.269724679302,3.7899214935976633
AsFA,AsFA458,AsO3C24H47,459.28193977,460.2853746082379,3.6326636148820683
AsFA,AsFA260,AsO3C10H17,261.04718872,262.05062067633156,8.690620473030252
AsFA,AsFA274,AsO3C11H19,275.06283879,276.06627071231605,7.90582745417732
AsFA,AsFA288,AsO3C12H21,289.07848886,290.0819207539352,7.251034056547861
AsFA,AsFA302,AsO3C13H23,303.09413893,304.09757079989595,6.696409653901664
AsFA,AsFA316,AsO3C14H25,317.109789,318.1132208492729,6.220601978791974
AsFA,AsFA330,AsO3C15H27,331.12543907,332.12887090138616,5.807924834537095
AsFA,AsFA344,AsO3C16H29,345.14108914,346.14452095572494,5.446595574859743
AsFA,AsFA358,AsO3C17H31,359.15673921,360.1601710118983,5.127591961656062
AsFA,AsFA372,AsO3C18H33,373.17238928,374.1758210696017,4.843888514807226
AsFA,AsFA386,AsO3C19H35,387.18803935,388.1914711285944,4.589933081946839
AsFA,AsFA400,AsO3C20H37,401.20368942,402.20712118868386,4.36127986019427
AsFA,AsFA414,AsO3C21H39,415.21933949,416.22277124971384,4.154326901764866
AsFA,AsFA428,AsO3C22H41,429.23498956,430.2384213115565,3.9661249696964975
AsFA,AsFA442,AsO3C23H43,443.25063963,444.25407137410633,3.7942360978700345
AsFA,AsFA456,AsO3C24H45,457.2662897,458.26972143727505,3.636627402664199
AsFA,AsFA258,AsO3C10H15,259.03153865,260.0349631689055,8.713341183520225
AsFA,AsFA272,AsO3C11H17,273.04718872,274.05061387803136,7.92462549041261
AsFA,AsFA286,AsO3C12H19,287.06283879,288.06626448105624,7.266844068196241
AsFA,AsFA300,AsO3C13H21,301.07848886,302.08191500237587,6.709891330477766
AsFA,AsFA314,AsO3C14H23,315.09413893,316.0975654594393,6.232234198140452
AsFA,AsFA328,AsO3C15H25,329.109789,330.1132158650572,5.818063618207777
AsFA,AsFA342,AsO3C16H27,343.12543907,344.1288662288471,5.455511100975011
AsFA,AsFA356,AsO3C17H29,357.14108914,358.14451655816976,5.135492960532965
AsFA,AsFA370,AsO3C18H31,371.15673921,372.1601668587546,4.850938794362774
AsFA,AsFA384,AsO3C19H33,385.17238928,386.17581713512794,4.596262993303429
AsFA,AsFA398,AsO3C20H35,399.18803935,400.19146739091286,4.366994422826423
AsFA,AsFA412,AsO3C21H37,413.20368942,414.20711762904386,4.1595116708499535
AsFA,AsFA426,AsO3C22H39,427.21933949,428.2227678519232,3.9708503451142154
AsFA,AsFA440,AsO3C23H41,441.23498956,442.2384180615361,3.798560537188976
AsFA,AsFA454,AsO3C24H43,455.25063963,456.2540682595375,3.6405998500843975
AsFA,AsFA256,AsO3C10H13,257.01588858,258.01930562248884,8.73618100722085
AsFA,AsFA270,AsO3C11H15,271.03153865,272.03495701150246,7.943513133557565
AsFA,AsFA284,AsO3C12H17,285.04718872,286.0506081810689,7.282723174171701
AsFA,AsFA298,AsO3C13H19,299.06283879,300.06625918174717,6.723427401057187
AsFA,AsFA312,AsO3C14H21,313.07848886,314.0819100496728,6.2439100023451
AsFA,AsFA326,AsO3C15H23,327.09413893,328.09756081135873,5.8282378619431885
AsFA,AsFA340,AsO3C16H25,341.109789,342.11321148669856,5.46445586257497
AsFA,AsFA354,AsO3C17H27,355.12543907,356.1288620909108,5.1434183459533935
AsFA,AsFA368,AsO3C18H29,369.14108914,370.144512635836,4.858009627196886
AsFA,AsFA382,AsO3C19H31,383.15673921,384.16016313082497,4.602610387751942
AsFA,AsFA396,AsO3C20H33,397.17238928,398.1758135833601,4.372723980630885
AsFA,AsFA410,AsO3C21H35,411.18803935,412.1914639995001,4.1647093977126275
AsFA,AsFA424,AsO3C22H37,425.20368942,426.20711438420324,3.9755869939075716
AsFA,AsFA438,AsO3C23H39,439.21933949,440.2227647415661,3.8028948452210223
AsFA,AsFA452,AsO3C24H41,453.23498956,454.2384150750032,3.644580985551603
AsFA,AsFA254,AsO3C10H11,255.00023851,256.00364803677405,8.759140883269458
AsFA,AsFA268,AsO3C11H13,269.01588858,270.01930011249834,7.96249102585332
AsFA,AsFA282,AsO3C12H15,283.03153865,284.0349518537951,7.298671828409467
AsFA,AsFA296,AsO3C13H17,297.04718872,298.05060333786975,6.737018195497463
AsFA,AsFA310,AsO3C14H19,311.06283879,312.06625461986107,6.255629636828378
AsFA,AsFA324,AsO3C15H21,325.07848886,326.0819057401994,5.83844775209984
AsFA,AsFA338,AsO3C16H23,339.09413893,340.0975567292041,5.47343000369777
AsFA,AsFA352,AsO3C17H25,353.109789,354.1132076100586,5.151368230995969
AsFA,AsFA366,AsO3C18H27,367.12543907,368.128858400793,4.865101103317465
AsFA,AsFA380,AsO3C19H29,381.14108914,382.14450911564046,4.608975337824484
AsFA,AsFA394,AsO3C20H31,395.15673921,396.16015976598703,4.3784685927068265
AsFA,AsFA408,AsO3C21H33,409.17238928,410.17581036104923,4.169920130989793
AsFA,AsFA422,AsO3C22H35,423.18803935,424.19146090836756,3.980334956467254
AsFA,AsFA436,AsO3C23H37,437.20368942,438.20711141417087,3.807239055786538
AsFA,AsFA450,AsO3C24H39,451.21933949,452.22276188364964,3.6485708375991557
AsFA,AsFA252,AsO3C10H9,252.98458844,253.9879904114505,8.782221760702102
AsFA,AsFA266,AsO3C11H11,267.00023851,268.0036431807857,7.981559815693226
AsFA,AsFA280,AsO3C12H13,281.01588858,282.01929549905515,7.314690488829838
AsFA,AsFA294,AsO3C13H15,295.03153865,296.0349474706023,6.750664046328629
AsFA,AsFA308,AsO3C14H17,309.04718872,310.05059916989114,6.2673933488588185
AsFA,AsFA322,AsO3C15H19,323.06283879,324.0662506514872,5.848693476342379
AsFA,AsFA336,AsO3C16H21,337.07848886,338.081901956288,5.482433669329311
AsFA,AsFA350,AsO3C17H23,351.09413893,352.0975531155501,5.159342729439514
AsFA,AsFA364,AsO3C18H25,365.109789,366.1132041535723,4.872213313258736
AsFA,AsFA378,AsO3C19H27,379.12543907,380.1288550895293,4.615357916454928
AsFA,AsFA392,AsO3C20H29,393.14108914,394.14450593875483,4.384228318464386
AsFA,AsFA406,AsO3C21H31,407.15673921,408.16015671365767,4.175143919562068
AsFA,AsFA420,AsO3C22H33,421.17238928,422.17580742438713,3.9850942733771317
AsFA,AsFA434,AsO3C23H35,435.18803935,436.19145807932506,3.811593202860611
AsFA,AsFA448,AsO3C24H37,449.20368942,450.2071086854545,3.6525694348854785
AsFA,AsFA250,AsO3C10H7,250.96893837,251.97233274620427,8.805424598584358
AsFA,AsFA264,AsO3C11H9,264.98458844,265.98798621612883,8.00072015769671
AsFA,AsFA278,AsO3C12H11,279.00023851,280.00363911666784,7.330779617382012
AsFA,AsFA292,AsO3C13H13,293.01588858,294.01929157980237,6.764365288780356
AsFA,AsFA306,AsO3C14H15,307.03153865,308.034943699649,6.279201387568402
AsFA,AsFA320,AsO3C15H17,321.04718872,322.05059554512974,5.858975223655068
AsFA,AsFA334,AsO3C16H19,335.06283879,336.06624716787405,5.4914670054110655
AsFA,AsFA348,AsO3C17H21,349.07848886,350.0818986073218,5.1673419557684674
AsFA,AsFA362,AsO3C18H23,363.09413893,364.09754989412056,4.879346348085101
AsFA,AsFA376,AsO3C19H25,377.109789,378.11320105244596,4.621758196981723
